Time,Service,Level,Message,Metadata,TraceID
2025-12-04T19:55:09.000Z,Tower,info,"Dec  4 14:55:09 Tower kernel: docker0: port 28(veth5371444) entered disabled state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:55:02.000Z,Tower,info,"Dec  4 14:55:02 Tower kernel: docker0: port 28(veth5371444) entered blocking state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:54:34.000Z,monit,error,"- [meta sequenceId=""5""] 'LogPartition' space usage 90.5% matches resource limit [space usage > 90.0%]","{""source"":""syslog"",""program"":""40685"",""facility"":3,""severity"":3,""original_host"":""monit""}",
2025-12-04T19:54:03.000Z,Tower,info,"Dec  4 14:54:03 Tower kernel: docker0: port 28(veth0506cbd) entered disabled state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:53:57.000Z,Tower,info,"Dec  4 14:53:57 Tower kernel: docker0: port 28(veth0506cbd) entered blocking state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:52:56.000Z,Tower,info,"Dec  4 14:52:56 Tower kernel: eth0: renamed from veth031d965","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:52:52.000Z,Tower,info,"Dec  4 14:52:52 Tower kernel: docker0: port 28(vethe2f3c24) entered blocking state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:52:34.000Z,monit,error,"- [meta sequenceId=""4""] 'LogPartition' space usage 90.3% matches resource limit [space usage > 90.0%]","{""source"":""syslog"",""program"":""40685"",""facility"":3,""severity"":3,""original_host"":""monit""}",
2025-12-04T19:51:51.000Z,Tower,info,"Dec  4 14:51:51 Tower kernel: eth0: renamed from veth380e909","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:51:47.000Z,Tower,info,"Dec  4 14:51:47 Tower kernel: docker0: port 28(veth62d797a) entered blocking state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:50:46.000Z,Tower,info,"Dec  4 14:50:46 Tower kernel: eth0: renamed from vethe573d1e","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:50:42.000Z,Tower,info,"Dec  4 14:50:42 Tower kernel: docker0: port 28(veth2c3e7db) entered blocking state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:50:34.000Z,monit,error,"Mailserver response error -- 535 Incorrect authentication data","{""source"":""syslog"",""program"":""40685"",""facility"":3,""severity"":3,""original_host"":""monit""}",
2025-12-04T19:50:29.000Z,monit,error,"- [meta sequenceId=""1""] 'LogPartition' space usage 90.0% matches resource limit [space usage > 90.0%]","{""source"":""syslog"",""program"":""40685"",""facility"":3,""severity"":3,""original_host"":""monit""}",
2025-12-04T19:49:41.000Z,Tower,info,"Dec  4 14:49:41 Tower kernel: eth0: renamed from vethbed55e1","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:49:36.000Z,Tower,info,"Dec  4 14:49:36 Tower kernel: docker0: port 28(veth59ecabb) entered blocking state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:48:35.000Z,Tower,info,"Dec  4 14:48:35 Tower kernel: eth0: renamed from veth9ea10dc","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:48:31.000Z,Tower,info,"Dec  4 14:48:31 Tower kernel: docker0: port 28(veth2d7e7e9) entered blocking state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:47:30.000Z,Tower,info,"Dec  4 14:47:30 Tower kernel: eth0: renamed from veth7c1af27","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:46:24.000Z,unknown,info,"Dec  4 14:46:24 Tower kernel: docker0: port 28(veth9e60f00) entered disabled state","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T19:46:22.000Z,unknown,info,"Dec  4 14:46:22 Tower kernel: eth0: renamed from veth56b6899","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T19:46:18.000Z,unknown,info,"Dec  4 14:46:18 Tower kernel: docker0: port 28(veth9e60f00) entered blocking state","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T19:45:20.000Z,unknown,info,"Dec  4 14:45:20 Tower kernel: docker0: port 28(vethef179f2) entered disabled state","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T19:45:14.000Z,unknown,info,"Dec  4 14:45:14 Tower kernel: docker0: port 28(vethef179f2) entered blocking state","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T19:44:15.000Z,unknown,info,"Dec  4 14:44:15 Tower kernel: docker0: port 28(veth023dafe) entered disabled state","{""source"":""syslog"",""facility"":1,""severity"":6}",
